GBK	Record_Type_x	Record_Number_x	Full_Name_x	Class	Category	Organism	Taxonomy	Description	Record_Type_y	Record_Number_y	CC	Family	Full_Name_y
sepi_clade_17_contig_56.region001	region	1	sepi_clade_17_contig_56.region001.gbk_region_1	RiPP-like	RiPP	.	Unknown	contig_56, whole genome shotgun sequence	region	1	93	FAM_00024	sepi_clade_17_contig_56.region001.gbk_region_1
sepi_clade_24_contig_3.region001	region	1	sepi_clade_24_contig_3.region001.gbk_region_1	T3PKS	PKS	.	Unknown	contig_3, whole genome shotgun sequence	region	1	29	FAM_00040	sepi_clade_24_contig_3.region001.gbk_region_1
sepi_clade_35_contig_13.region001	region	1	sepi_clade_35_contig_13.region001.gbk_region_1	opine-like-metallophore	other	.	Unknown	contig_13, whole genome shotgun sequence	region	1	21	FAM_00003	sepi_clade_35_contig_13.region001.gbk_region_1
sepi_clade_28_contig_5.region001	region	1	sepi_clade_28_contig_5.region001.gbk_region_1	T3PKS	PKS	.	Unknown	contig_5, whole genome shotgun sequence	region	1	29	FAM_00040	sepi_clade_28_contig_5.region001.gbk_region_1
sepi_clade_40_contig_11.region001	region	1	sepi_clade_40_contig_11.region001.gbk_region_1	opine-like-metallophore	other	.	Unknown	contig_11, whole genome shotgun sequence	region	1	21	FAM_00003	sepi_clade_40_contig_11.region001.gbk_region_1
sepi_clade_63_contig_19.region001	region	1	sepi_clade_63_contig_19.region001.gbk_region_1	T3PKS	PKS	.	Unknown	contig_19, whole genome shotgun sequence	region	1	29	FAM_00040	sepi_clade_63_contig_19.region001.gbk_region_1
sepi_clade_38_contig_6.region001	region	1	sepi_clade_38_contig_6.region001.gbk_region_1	NRPS	NRPS	.	Unknown	contig_6, whole genome shotgun sequence	region	1	17	FAM_00031	sepi_clade_38_contig_6.region001.gbk_region_1
sepi_clade_43_contig_5.region002	region	2	sepi_clade_43_contig_5.region002.gbk_region_2	NRPS	NRPS	.	Unknown	contig_5, whole genome shotgun sequence	region	2	17	FAM_00031	sepi_clade_43_contig_5.region002.gbk_region_2
saur_clade_305_contig_3.region001	region	1	saur_clade_305_contig_3.region001.gbk_region_1	opine-like-metallophore	other	.	Unknown	contig_3, whole genome shotgun sequence	region	1	21	FAM_00005	saur_clade_305_contig_3.region001.gbk_region_1
sepi_clade_44_contig_9.region001	region	1	sepi_clade_44_contig_9.region001.gbk_region_1	NI-siderophore	other	.	Unknown	contig_9, whole genome shotgun sequence	region	1	9	FAM_00001	sepi_clade_44_contig_9.region001.gbk_region_1
sepi_clade_50_contig_85.region001	region	1	sepi_clade_50_contig_85.region001.gbk_region_1	RiPP-like	RiPP	.	Unknown	contig_85, whole genome shotgun sequence	region	1	93	FAM_00024	sepi_clade_50_contig_85.region001.gbk_region_1
sepi_clade_32_contig_10.region001	region	1	sepi_clade_32_contig_10.region001.gbk_region_1	opine-like-metallophore	other	.	Unknown	contig_10, whole genome shotgun sequence	region	1	21	FAM_00004	sepi_clade_32_contig_10.region001.gbk_region_1
shom_clade_502_contig_6.region001	region	1	shom_clade_502_contig_6.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_6, whole genome shotgun sequence	region	1	1	FAM_00022	shom_clade_502_contig_6.region001.gbk_region_1
sepi_clade_92_contig_11.region001	region	1	sepi_clade_92_contig_11.region001.gbk_region_1	NI-siderophore	other	.	Unknown	contig_11, whole genome shotgun sequence	region	1	9	FAM_00001	sepi_clade_92_contig_11.region001.gbk_region_1
sepi_clade_72_contig_19.region001	region	1	sepi_clade_72_contig_19.region001.gbk_region_1	NRPS	NRPS	.	Unknown	contig_19, whole genome shotgun sequence	region	1	17	FAM_00031	sepi_clade_72_contig_19.region001.gbk_region_1
sepi_clade_29_contig_12.region001	region	1	sepi_clade_29_contig_12.region001.gbk_region_1	NRPS	NRPS	.	Unknown	contig_12, whole genome shotgun sequence	region	1	17	FAM_00031	sepi_clade_29_contig_12.region001.gbk_region_1
sepi_clade_50_contig_12.region001	region	1	sepi_clade_50_contig_12.region001.gbk_region_1	NI-siderophore	other	.	Unknown	contig_12, whole genome shotgun sequence	region	1	9	FAM_00001	sepi_clade_50_contig_12.region001.gbk_region_1
saur_clade_304_contig_2.region002	region	2	saur_clade_304_contig_2.region002.gbk_region_2	NRPS	NRPS	.	Unknown	contig_2, whole genome shotgun sequence	region	2	161	FAM_00032	saur_clade_304_contig_2.region002.gbk_region_2
sepi_clade_46_contig_4.region001	region	1	sepi_clade_46_contig_4.region001.gbk_region_1	opine-like-metallophore	other	.	Unknown	contig_4, whole genome shotgun sequence	region	1	21	FAM_00003	sepi_clade_46_contig_4.region001.gbk_region_1
saur_clade_302_contig_4.region002	region	2	saur_clade_302_contig_4.region002.gbk_region_2	T3PKS	PKS	.	Unknown	contig_4, whole genome shotgun sequence	region	2	29	FAM_00040	saur_clade_302_contig_4.region002.gbk_region_2
sepi_clade_3_contig_3.region001	region	1	sepi_clade_3_contig_3.region001.gbk_region_1	NRPS	NRPS	.	Unknown	contig_3, whole genome shotgun sequence	region	1	17	FAM_00031	sepi_clade_3_contig_3.region001.gbk_region_1
sepi_clade_9_contig_18.region001	region	1	sepi_clade_9_contig_18.region001.gbk_region_1	T3PKS	PKS	.	Unknown	contig_18, whole genome shotgun sequence	region	1	29	FAM_00040	sepi_clade_9_contig_18.region001.gbk_region_1
sepi_clade_77_contig_5.region001	region	1	sepi_clade_77_contig_5.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_5, whole genome shotgun sequence	region	1	1	FAM_00018	sepi_clade_77_contig_5.region001.gbk_region_1
sepi_clade_2_contig_10.region001	region	1	sepi_clade_2_contig_10.region001.gbk_region_1	NRPS	NRPS	.	Unknown	contig_10, whole genome shotgun sequence	region	1	17	FAM_00031	sepi_clade_2_contig_10.region001.gbk_region_1
sepi_clade_53_contig_8.region001	region	1	sepi_clade_53_contig_8.region001.gbk_region_1	NI-siderophore	other	.	Unknown	contig_8, whole genome shotgun sequence	region	1	9	FAM_00001	sepi_clade_53_contig_8.region001.gbk_region_1
scap_clade_203_contig_1.region001	region	1	scap_clade_203_contig_1.region001.gbk_region_1	lanthipeptide-class-v.opine-like-metallophore	other.RiPP	.	Unknown	contig_1, whole genome shotgun sequence	region	1	21	FAM_00003	scap_clade_203_contig_1.region001.gbk_region_1
sepi_clade_9_contig_9.region002	region	2	sepi_clade_9_contig_9.region002.gbk_region_2	NRPS	NRPS	.	Unknown	contig_9, whole genome shotgun sequence	region	2	17	FAM_00031	sepi_clade_9_contig_9.region002.gbk_region_2
saur_clade_306_contig_2.region002	region	2	saur_clade_306_contig_2.region002.gbk_region_2	NI-siderophore	other	.	Unknown	contig_2, whole genome shotgun sequence	region	2	209	FAM_00006	saur_clade_306_contig_2.region002.gbk_region_2
sepi_clade_22_contig_16.region001	region	1	sepi_clade_22_contig_16.region001.gbk_region_1	NI-siderophore	other	.	Unknown	contig_16, whole genome shotgun sequence	region	1	9	FAM_00001	sepi_clade_22_contig_16.region001.gbk_region_1
sepi_clade_36_contig_26.region001	region	1	sepi_clade_36_contig_26.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_26, whole genome shotgun sequence	region	1	1	FAM_00019	sepi_clade_36_contig_26.region001.gbk_region_1
sepi_clade_45_contig_31.region001	region	1	sepi_clade_45_contig_31.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_31, whole genome shotgun sequence	region	1	1	FAM_00018	sepi_clade_45_contig_31.region001.gbk_region_1
sepi_clade_72_contig_11.region001	region	1	sepi_clade_72_contig_11.region001.gbk_region_1	NI-siderophore	other	.	Unknown	contig_11, whole genome shotgun sequence	region	1	9	FAM_00001	sepi_clade_72_contig_11.region001.gbk_region_1
sepi_clade_56_contig_17.region001	region	1	sepi_clade_56_contig_17.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_17, whole genome shotgun sequence	region	1	1	FAM_00019	sepi_clade_56_contig_17.region001.gbk_region_1
sepi_clade_1_contig_5.region001	region	1	sepi_clade_1_contig_5.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_5, whole genome shotgun sequence	region	1	1	FAM_00019	sepi_clade_1_contig_5.region001.gbk_region_1
saur_clade_304_contig_5.region001	region	1	saur_clade_304_contig_5.region001.gbk_region_1	T3PKS.terpene	PKS.terpene	.	Unknown	contig_5, whole genome shotgun sequence	region	1	237	FAM_00007	saur_clade_304_contig_5.region001.gbk_region_1
sepi_clade_6_contig_2.region001	region	1	sepi_clade_6_contig_2.region001.gbk_region_1	T3PKS	PKS	.	Unknown	contig_2, whole genome shotgun sequence	region	1	29	FAM_00040	sepi_clade_6_contig_2.region001.gbk_region_1
sepi_clade_73_contig_7.region002	region	2	sepi_clade_73_contig_7.region002.gbk_region_2	NRPS	NRPS	.	Unknown	contig_7, whole genome shotgun sequence	region	2	17	FAM_00031	sepi_clade_73_contig_7.region002.gbk_region_2
sepi_clade_71_contig_3.region001	region	1	sepi_clade_71_contig_3.region001.gbk_region_1	T3PKS	PKS	.	Unknown	contig_3, whole genome shotgun sequence	region	1	29	FAM_00040	sepi_clade_71_contig_3.region001.gbk_region_1
saur_clade_302_contig_27.region001	region	1	saur_clade_302_contig_27.region001.gbk_region_1	RiPP-like	RiPP	.	Unknown	contig_27, whole genome shotgun sequence	region	1	261	FAM_00025	saur_clade_302_contig_27.region001.gbk_region_1
sepi_clade_58_contig_2.region002	region	2	sepi_clade_58_contig_2.region002.gbk_region_2	NI-siderophore	other	.	Unknown	contig_2, whole genome shotgun sequence	region	2	9	FAM_00001	sepi_clade_58_contig_2.region002.gbk_region_2
sepi_clade_23_contig_13.region002	region	2	sepi_clade_23_contig_13.region002.gbk_region_2	opine-like-metallophore	other	.	Unknown	contig_13, whole genome shotgun sequence	region	2	21	FAM_00004	sepi_clade_23_contig_13.region002.gbk_region_2
slug_clade_601_contig_1.region004	region	4	slug_clade_601_contig_1.region004.gbk_region_4	LAP.NRPS	NRPS.RiPP	.	Unknown	contig_1, whole genome shotgun sequence	region	4	273	FAM_00008	slug_clade_601_contig_1.region004.gbk_region_4
sepi_clade_72_contig_36.region001	region	1	sepi_clade_72_contig_36.region001.gbk_region_1	RiPP-like	RiPP	.	Unknown	contig_36, whole genome shotgun sequence	region	1	282	FAM_00026	sepi_clade_72_contig_36.region001.gbk_region_1
sepi_clade_31_contig_6.region002	region	2	sepi_clade_31_contig_6.region002.gbk_region_2	opine-like-metallophore	other	.	Unknown	contig_6, whole genome shotgun sequence	region	2	21	FAM_00004	sepi_clade_31_contig_6.region002.gbk_region_2
saur_clade_303_contig_2.region002	region	2	saur_clade_303_contig_2.region002.gbk_region_2	NRPS	NRPS	.	Unknown	contig_2, whole genome shotgun sequence	region	2	161	FAM_00032	saur_clade_303_contig_2.region002.gbk_region_2
sepi_clade_7_contig_3.region001	region	1	sepi_clade_7_contig_3.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_3, whole genome shotgun sequence	region	1	1	FAM_00019	sepi_clade_7_contig_3.region001.gbk_region_1
sepi_clade_40_contig_11.region002	region	2	sepi_clade_40_contig_11.region002.gbk_region_2	NRPS	NRPS	.	Unknown	contig_11, whole genome shotgun sequence	region	2	17	FAM_00031	sepi_clade_40_contig_11.region002.gbk_region_2
saur_clade_305_contig_1.region001	region	1	saur_clade_305_contig_1.region001.gbk_region_1	NRPS	NRPS	.	Unknown	contig_1, whole genome shotgun sequence	region	1	161	FAM_00032	saur_clade_305_contig_1.region001.gbk_region_1
sepi_clade_66_contig_8.region001	region	1	sepi_clade_66_contig_8.region001.gbk_region_1	NRPS	NRPS	.	Unknown	contig_8, whole genome shotgun sequence	region	1	17	FAM_00031	sepi_clade_66_contig_8.region001.gbk_region_1
sepi_clade_24_contig_17.region001	region	1	sepi_clade_24_contig_17.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_17, whole genome shotgun sequence	region	1	1	FAM_00019	sepi_clade_24_contig_17.region001.gbk_region_1
scap_clade_204_contig_10.region001	region	1	scap_clade_204_contig_10.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_10, whole genome shotgun sequence	region	1	1	FAM_00020	scap_clade_204_contig_10.region001.gbk_region_1
sepi_clade_13_contig_30.region001	region	1	sepi_clade_13_contig_30.region001.gbk_region_1	T3PKS	PKS	.	Unknown	contig_30, whole genome shotgun sequence	region	1	29	FAM_00040	sepi_clade_13_contig_30.region001.gbk_region_1
scap_clade_203_contig_13.region001	region	1	scap_clade_203_contig_13.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_13, whole genome shotgun sequence	region	1	1	FAM_00020	scap_clade_203_contig_13.region001.gbk_region_1
sepi_clade_15_contig_12.region002	region	2	sepi_clade_15_contig_12.region002.gbk_region_2	opine-like-metallophore	other	.	Unknown	contig_12, whole genome shotgun sequence	region	2	21	FAM_00004	sepi_clade_15_contig_12.region002.gbk_region_2
sepi_clade_2_contig_19.region001	region	1	sepi_clade_2_contig_19.region001.gbk_region_1	T3PKS	PKS	.	Unknown	contig_19, whole genome shotgun sequence	region	1	29	FAM_00040	sepi_clade_2_contig_19.region001.gbk_region_1
sepi_clade_58_contig_2.region001	region	1	sepi_clade_58_contig_2.region001.gbk_region_1	T3PKS	PKS	.	Unknown	contig_2, whole genome shotgun sequence	region	1	29	FAM_00040	sepi_clade_58_contig_2.region001.gbk_region_1
shom_clade_503_contig_3.region001	region	1	shom_clade_503_contig_3.region001.gbk_region_1	NI-siderophore	other	.	Unknown	contig_3, whole genome shotgun sequence	region	1	13	FAM_00002	shom_clade_503_contig_3.region001.gbk_region_1
sepi_clade_77_contig_10.region002	region	2	sepi_clade_77_contig_10.region002.gbk_region_2	opine-like-metallophore	other	.	Unknown	contig_10, whole genome shotgun sequence	region	2	21	FAM_00003	sepi_clade_77_contig_10.region002.gbk_region_2
sepi_clade_32_contig_10.region002	region	2	sepi_clade_32_contig_10.region002.gbk_region_2	NRPS	NRPS	.	Unknown	contig_10, whole genome shotgun sequence	region	2	17	FAM_00031	sepi_clade_32_contig_10.region002.gbk_region_2
scap_clade_202_contig_3.region001	region	1	scap_clade_202_contig_3.region001.gbk_region_1	lanthipeptide-class-i	RiPP	.	Unknown	contig_3, whole genome shotgun sequence	region	1	350	FAM_00028	scap_clade_202_contig_3.region001.gbk_region_1
sepi_clade_54_contig_9.region002	region	2	sepi_clade_54_contig_9.region002.gbk_region_2	opine-like-metallophore	other	.	Unknown	contig_9, whole genome shotgun sequence	region	2	21	FAM_00003	sepi_clade_54_contig_9.region002.gbk_region_2
sepi_clade_38_contig_6.region002	region	2	sepi_clade_38_contig_6.region002.gbk_region_2	opine-like-metallophore	other	.	Unknown	contig_6, whole genome shotgun sequence	region	2	21	FAM_00003	sepi_clade_38_contig_6.region002.gbk_region_2
sepi_clade_55_contig_9.region001	region	1	sepi_clade_55_contig_9.region001.gbk_region_1	NRPS	NRPS	.	Unknown	contig_9, whole genome shotgun sequence	region	1	17	FAM_00031	sepi_clade_55_contig_9.region001.gbk_region_1
sepi_clade_67_contig_10.region002	region	2	sepi_clade_67_contig_10.region002.gbk_region_2	NRPS	NRPS	.	Unknown	contig_10, whole genome shotgun sequence	region	2	17	FAM_00031	sepi_clade_67_contig_10.region002.gbk_region_2
sepi_clade_36_contig_18.region001	region	1	sepi_clade_36_contig_18.region001.gbk_region_1	T3PKS	PKS	.	Unknown	contig_18, whole genome shotgun sequence	region	1	29	FAM_00040	sepi_clade_36_contig_18.region001.gbk_region_1
sepi_clade_50_contig_16.region001	region	1	sepi_clade_50_contig_16.region001.gbk_region_1	opine-like-metallophore	other	.	Unknown	contig_16, whole genome shotgun sequence	region	1	21	FAM_00003	sepi_clade_50_contig_16.region001.gbk_region_1
sepi_clade_64_contig_27.region001	region	1	sepi_clade_64_contig_27.region001.gbk_region_1	NI-siderophore	other	.	Unknown	contig_27, whole genome shotgun sequence	region	1	9	FAM_00001	sepi_clade_64_contig_27.region001.gbk_region_1
sepi_clade_28_contig_34.region001	region	1	sepi_clade_28_contig_34.region001.gbk_region_1	RiPP-like	RiPP	.	Unknown	contig_34, whole genome shotgun sequence	region	1	93	FAM_00024	sepi_clade_28_contig_34.region001.gbk_region_1
sepi_clade_56_contig_10.region001	region	1	sepi_clade_56_contig_10.region001.gbk_region_1	NRPS	NRPS	.	Unknown	contig_10, whole genome shotgun sequence	region	1	17	FAM_00031	sepi_clade_56_contig_10.region001.gbk_region_1
sepi_clade_30_contig_24.region001	region	1	sepi_clade_30_contig_24.region001.gbk_region_1	T3PKS	PKS	.	Unknown	contig_24, whole genome shotgun sequence	region	1	29	FAM_00040	sepi_clade_30_contig_24.region001.gbk_region_1
sepi_clade_5_contig_2.region002	region	2	sepi_clade_5_contig_2.region002.gbk_region_2	T3PKS	PKS	.	Unknown	contig_2, whole genome shotgun sequence	region	2	29	FAM_00040	sepi_clade_5_contig_2.region002.gbk_region_2
sepi_clade_13_contig_6.region001	region	1	sepi_clade_13_contig_6.region001.gbk_region_1	NRPS	NRPS	.	Unknown	contig_6, whole genome shotgun sequence	region	1	17	FAM_00031	sepi_clade_13_contig_6.region001.gbk_region_1
scap_clade_202_contig_10.region001	region	1	scap_clade_202_contig_10.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_10, whole genome shotgun sequence	region	1	1	FAM_00020	scap_clade_202_contig_10.region001.gbk_region_1
sepi_clade_29_contig_3.region001	region	1	sepi_clade_29_contig_3.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_3, whole genome shotgun sequence	region	1	1	FAM_00019	sepi_clade_29_contig_3.region001.gbk_region_1
saur_clade_304_contig_10.region001	region	1	saur_clade_304_contig_10.region001.gbk_region_1	lanthipeptide-class-i	RiPP	.	Unknown	contig_10, whole genome shotgun sequence	region	1	410	FAM_00029	saur_clade_304_contig_10.region001.gbk_region_1
mlut_clade_704_contig_29.region001	region	1	mlut_clade_704_contig_29.region001.gbk_region_1	terpene	terpene	.	Unknown	contig_29, whole genome shotgun sequence	region	1	414	FAM_00037	mlut_clade_704_contig_29.region001.gbk_region_1
sepi_clade_23_contig_7.region001	region	1	sepi_clade_23_contig_7.region001.gbk_region_1	NI-siderophore	other	.	Unknown	contig_7, whole genome shotgun sequence	region	1	9	FAM_00001	sepi_clade_23_contig_7.region001.gbk_region_1
sepi_clade_17_contig_7.region001	region	1	sepi_clade_17_contig_7.region001.gbk_region_1	NRPS	NRPS	.	Unknown	contig_7, whole genome shotgun sequence	region	1	17	FAM_00031	sepi_clade_17_contig_7.region001.gbk_region_1
sepi_clade_15_contig_35.region001	region	1	sepi_clade_15_contig_35.region001.gbk_region_1	RiPP-like	RiPP	.	Unknown	contig_35, whole genome shotgun sequence	region	1	282	FAM_00026	sepi_clade_15_contig_35.region001.gbk_region_1
sepi_clade_7_contig_21.region001	region	1	sepi_clade_7_contig_21.region001.gbk_region_1	T3PKS	PKS	.	Unknown	contig_21, whole genome shotgun sequence	region	1	29	FAM_00040	sepi_clade_7_contig_21.region001.gbk_region_1
sepi_clade_25_contig_27.region001	region	1	sepi_clade_25_contig_27.region001.gbk_region_1	NRPS	NRPS	.	Unknown	contig_27, whole genome shotgun sequence	region	1	17	FAM_00031	sepi_clade_25_contig_27.region001.gbk_region_1
sepi_clade_93_contig_45.region001	region	1	sepi_clade_93_contig_45.region001.gbk_region_1	CDPS	NRPS	.	Unknown	contig_45, whole genome shotgun sequence	region	1	438	FAM_00009	sepi_clade_93_contig_45.region001.gbk_region_1
sepi_clade_59_contig_9.region001	region	1	sepi_clade_59_contig_9.region001.gbk_region_1	opine-like-metallophore	other	.	Unknown	contig_9, whole genome shotgun sequence	region	1	21	FAM_00003	sepi_clade_59_contig_9.region001.gbk_region_1
sepi_clade_22_contig_5.region001	region	1	sepi_clade_22_contig_5.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_5, whole genome shotgun sequence	region	1	1	FAM_00018	sepi_clade_22_contig_5.region001.gbk_region_1
sepi_clade_6_contig_3.region001	region	1	sepi_clade_6_contig_3.region001.gbk_region_1	NRPS	NRPS	.	Unknown	contig_3, whole genome shotgun sequence	region	1	17	FAM_00031	sepi_clade_6_contig_3.region001.gbk_region_1
sepi_clade_17_contig_46.region001	region	1	sepi_clade_17_contig_46.region001.gbk_region_1	RiPP-like	RiPP	.	Unknown	contig_46, whole genome shotgun sequence	region	1	282	FAM_00027	sepi_clade_17_contig_46.region001.gbk_region_1
sepi_clade_64_contig_7.region001	region	1	sepi_clade_64_contig_7.region001.gbk_region_1	NRPS	NRPS	.	Unknown	contig_7, whole genome shotgun sequence	region	1	17	FAM_00031	sepi_clade_64_contig_7.region001.gbk_region_1
sepi_clade_16_contig_26.region001	region	1	sepi_clade_16_contig_26.region001.gbk_region_1	T3PKS	PKS	.	Unknown	contig_26, whole genome shotgun sequence	region	1	29	FAM_00040	sepi_clade_16_contig_26.region001.gbk_region_1
sepi_clade_23_contig_18.region001	region	1	sepi_clade_23_contig_18.region001.gbk_region_1	T3PKS	PKS	.	Unknown	contig_18, whole genome shotgun sequence	region	1	29	FAM_00040	sepi_clade_23_contig_18.region001.gbk_region_1
sepi_clade_10_contig_21.region001	region	1	sepi_clade_10_contig_21.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_21, whole genome shotgun sequence	region	1	1	FAM_00018	sepi_clade_10_contig_21.region001.gbk_region_1
sepi_clade_72_contig_17.region001	region	1	sepi_clade_72_contig_17.region001.gbk_region_1	T3PKS	PKS	.	Unknown	contig_17, whole genome shotgun sequence	region	1	29	FAM_00040	sepi_clade_72_contig_17.region001.gbk_region_1
sepi_clade_19_contig_20.region001	region	1	sepi_clade_19_contig_20.region001.gbk_region_1	opine-like-metallophore	other	.	Unknown	contig_20, whole genome shotgun sequence	region	1	21	FAM_00004	sepi_clade_19_contig_20.region001.gbk_region_1
sepi_clade_31_contig_17.region001	region	1	sepi_clade_31_contig_17.region001.gbk_region_1	cyclic-lactone-autoinducer	RiPP	.	Unknown	contig_17, whole genome shotgun sequence	region	1	1	FAM_00019	sepi_clade_31_contig_17.region001.gbk_region_1
