Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
4AB1N_X14_13	2PA3C_15YE_41	97.847115	2463	2574	2045	0.811991	0.4	0.5
4AB1N_X14_13	2PA3C_15YE_37	98.390365	2463	2478	2055	0.831815	0.4	0.5
4AB1N_X14_13	1PA4F_22YD_41	97.649203	2463	2571	2069	0.82201	0.4	0.5
4AB1N_X14_13	1AA4C_Z02_71	98.002948	2463	2365	2035	0.842999	0.4	0.5
4AB1N_X14_13	1AA4C_Z02_81	97.857504	2463	2412	2039	0.836513	0.4	0.5
4AB1N_X14_13	7AA1C_28JC_11	97.645599	2463	2813	2079	0.788097	0.4	0.5
4AB1N_X14_13	2PB1N_24JB_91	97.679332	2463	2487	2066	0.834747	0.4	0.5
4AB1N_X14_13	1PB2N_Z08_44	97.520868	2463	2542	2063	0.824376	0.4	0.5
4AB1N_X14_13	8AC1N_25YC_3	97.844995	2463	2480	2058	0.832693	0.4	0.5
4AB1N_X14_13	7PA1C_28JC_92	97.937322	2463	2524	2039	0.817726	0.4	0.5
4AB1N_X14_13	2AA3C_23YBC_2	97.797021	2463	2417	2048	0.839344	0.4	0.5
4AB1N_X14_13	7AA4F_Z04_59	83.140732	2463	2619	1899	0.747344	0.4	0.5
4AB1N_X14_13	8AC1C_25YC_8	77.257424	2463	3736	1852	0.597516	0.4	0.5
4AB1N_X14_13	1PA2C_11JES_51	78.781632	2463	2640	1881	0.737213	0.4	0.5
4AB1N_X14_13	2PB1F_Z08_17	76.880847	2463	2344	1783	0.741835	0.4	0.5
4AB1N_X14_13	2PB1C_Z08_6	75.787909	2463	2435	1803	0.736219	0.4	0.5
4AB1N_X14_13	2PB1K_Z08_8	49.224603	2463	2424	252	0.103131	0.4	0.5
4AA1F_X13_48	4AB1N_X14_13	98.762904	2501	2463	2104	0.847703	0.4	0.5
4AA1F_X13_48	4AA1F_X13_48	100	2501	2501	2482	0.992403	0.4	0.5
4AA1F_X13_48	4AB1K_X16_57	97.692268	2501	2430	2050	0.831474	0.4	0.5
4AA1F_X13_48	4AA1N_X16_28	97.939374	2501	2352	2028	0.835772	0.4	0.5
4AA1F_X13_48	4AA1F_X14_79	97.853906	2501	2491	2048	0.820513	0.4	0.5
4AA1F_X13_48	7AA1C_X14_93	97.769099	2501	2512	2042	0.814682	0.4	0.5
4AA1F_X13_48	7PA1C_28JC_68	97.745395	2501	2463	2052	0.826753	0.4	0.5
4AA1F_X13_48	4AA1F_X13_46	97.82058	2501	2517	2053	0.818254	0.4	0.5
4AA1F_X13_48	4AA1F_X13_37	99.586772	2501	2569	2283	0.900592	0.4	0.5
4AA1F_X13_48	5PA1F_11JBS_3	97.546851	2501	2561	2048	0.809166	0.4	0.5
4AA1F_X13_48	5PA1N_11JBS_61	97.878543	2501	2641	2039	0.793077	0.4	0.5
4AA1F_X13_48	5PA1C_11JBS_66	97.686953	2501	2509	2058	0.821557	0.4	0.5
4AA1F_X13_48	5PA1C_11JBS_94	97.83508	2501	2587	2051	0.806211	0.4	0.5
4AA1F_X13_48	2PA1C_11JCS_83	97.819561	2501	2693	2050	0.789372	0.4	0.5
4AA1F_X13_48	1PA2N_11JES_24	97.752984	2501	2454	2061	0.831887	0.4	0.5
4AA1F_X13_48	1PB2N_24JB_27	97.907387	2501	2352	2044	0.842366	0.4	0.5
4AA1F_X13_48	2PB1N_24JB_86	97.769611	2501	2446	2055	0.830807	0.4	0.5
4AA1F_X13_48	2PA1C_11JCS_80	97.677144	2501	2895	2052	0.760563	0.4	0.5
4AA1F_X13_48	1PA1K_28JA_17	98.323341	2501	2566	2065	0.815078	0.4	0.5
4AA1F_X13_48	1AA3C_23YAS_93	97.642184	2501	2438	2047	0.828913	0.4	0.5
4AA1F_X13_48	1PA1N_28JB_60	97.883447	2501	2662	2045	0.792175	0.4	0.5
4AA1F_X13_48	2AA1C_28JA_67	97.921474	2501	2461	2028	0.817412	0.4	0.5
4AA1F_X13_48	7AA1C_28JC_5	97.707976	2501	2442	2050	0.829456	0.4	0.5
4AA1F_X13_48	2AA3K_9YD_62	97.605031	2501	2878	2067	0.768544	0.4	0.5
4AA1F_X13_48	1PB3C_8YDS_76	97.865419	2501	2604	2043	0.800392	0.4	0.5
4AA1F_X13_48	1PB3C_23YAC_20	97.88867	2501	2442	2052	0.830265	0.4	0.5
4AA1F_X13_48	2PA3N_15YE_35	98.673655	2501	2564	2082	0.822113	0.4	0.5
4AA1F_X13_48	2PA3C_15YE_61	97.862866	2501	2588	2048	0.804873	0.4	0.5
4AA1F_X13_48	2PA3C_15YE_82	97.773459	2501	2496	2044	0.818091	0.4	0.5
4AA1F_X13_48	7AB4N_22YB_3	97.806696	2501	2574	2061	0.812217	0.4	0.5
4AA1F_X13_48	5PB3N_22YC_31	97.729663	2501	2529	2048	0.814314	0.4	0.5
4AA1F_X13_48	5PB3C_22YC_85	97.714043	2501	2420	2058	0.836415	0.4	0.5
4AA1F_X13_48	5PB3C_22YC_86	97.796699	2501	2523	2060	0.820064	0.4	0.5
4AA1F_X13_48	1PA4N_22YD_57	97.819386	2501	2641	2053	0.798522	0.4	0.5
4AA1F_X13_48	1PA4C_22YD_91	97.845479	2501	2507	2057	0.821486	0.4	0.5
4AA1F_X13_48	2AA1C_28JA_61	97.867777	2501	2546	2056	0.814741	0.4	0.5
4AA1F_X13_48	8AB4F_25YA_19	97.886503	2501	2846	2056	0.769029	0.4	0.5
4AA1F_X13_48	1AA3C_23YAS_90	98.744829	2501	2527	2079	0.826969	0.4	0.5
4AA1F_X13_48	1AA3C_23YAS_94	97.868938	2501	2407	2033	0.828443	0.4	0.5
4AA1F_X13_48	8AB1F_25YH_17	97.530461	2501	2567	2060	0.812944	0.4	0.5
4AA1F_X13_48	8PB3F_23YCS_6	97.838751	2501	2531	2049	0.814388	0.4	0.5
4AA1F_X13_48	8AC4C_8YAS_89	97.75207	2501	2414	2053	0.835402	0.4	0.5
4AA1F_X13_48	8AB4C_25YA_77	97.734912	2501	2610	2048	0.801409	0.4	0.5
4AA1F_X13_48	8PB1K_25YC_40	97.970764	2501	2422	2030	0.8247	0.4	0.5
4AA1F_X13_48	8PB4N_25YD_28	97.85353	2501	2716	2054	0.787426	0.4	0.5
4AA1F_X13_48	8AB1K_25YH_62	97.821976	2501	2348	2034	0.838936	0.4	0.5
4AA1F_X13_48	8AB4C_23YAS_16	98.685852	2501	2663	2078	0.804802	0.4	0.5
4AA1F_X13_48	7AA4C_23YAC_39	97.91842	2501	2384	2044	0.836847	0.4	0.5
4AA1F_X13_48	1AA4C_Z02_85	97.647032	2501	2519	2089	0.832271	0.4	0.5
4AA1F_X13_48	2PA3C_15YE_41	97.821641	2501	2574	2047	0.8067	0.4	0.5
4AA1F_X13_48	2PA3C_15YE_37	98.273873	2501	2478	2063	0.82868	0.4	0.5
4AA1F_X13_48	1PA4F_22YD_41	97.613016	2501	2571	2082	0.820978	0.4	0.5
4AA1F_X13_48	1AA4C_Z02_71	97.842616	2501	2365	2045	0.840526	0.4	0.5
4AA1F_X13_48	1AA4C_Z02_81	97.855348	2501	2412	2038	0.829636	0.4	0.5
4AA1F_X13_48	7AA1C_28JC_11	97.6617	2501	2813	2077	0.781709	0.4	0.5
4AA1F_X13_48	2PB1N_24JB_91	97.559981	2501	2487	2059	0.825581	0.4	0.5
4AA1F_X13_48	1PB2N_Z08_44	97.520736	2501	2542	2064	0.81856	0.4	0.5
4AA1F_X13_48	8AC1N_25YC_3	97.779757	2501	2480	2055	0.825136	0.4	0.5
4AA1F_X13_48	7PA1C_28JC_92	97.923239	2501	2524	2044	0.813532	0.4	0.5
4AA1F_X13_48	2AA3C_23YBC_2	97.71936	2501	2417	2048	0.832859	0.4	0.5
4AA1F_X13_48	7AA4F_Z04_59	83.097295	2501	2619	1904	0.74375	0.4	0.5
4AA1F_X13_48	8AC1C_25YC_8	77.447254	2501	3736	1839	0.589707	0.4	0.5
4AA1F_X13_48	1PA2C_11JES_51	78.856187	2501	2640	1891	0.735655	0.4	0.5
4AA1F_X13_48	2PB1F_Z08_17	76.868197	2501	2344	1775	0.732714	0.4	0.5
4AA1F_X13_48	2PB1C_Z08_6	75.800639	2501	2435	1800	0.729335	0.4	0.5
4AA1F_X13_48	2PB1K_Z08_8	49.335	2501	2424	250	0.101523	0.4	0.5
4AB1K_X16_57	4AB1N_X14_13	97.815211	2430	2463	2061	0.842428	0.4	0.5
4AB1K_X16_57	4AA1F_X13_48	97.692268	2430	2501	2050	0.831474	0.4	0.5
4AB1K_X16_57	4AB1K_X16_57	100	2430	2430	2414	0.993416	0.4	0.5
4AB1K_X16_57	4AA1N_X16_28	99.299011	2430	2352	2123	0.887913	0.4	0.5
4AB1K_X16_57	4AA1F_X14_79	99.302801	2430	2491	2178	0.885186	0.4	0.5
4AB1K_X16_57	7AA1C_X14_93	99.362666	2430	2512	2187	0.885067	0.4	0.5
4AB1K_X16_57	7PA1C_28JC_68	99.906788	2430	2463	2232	0.912324	0.4	0.5
4AB1K_X16_57	4AA1F_X13_46	99.365819	2430	2517	2143	0.866384	0.4	0.5
4AB1K_X16_57	4AA1F_X13_37	97.724818	2430	2569	2059	0.823765	0.4	0.5
4AB1K_X16_57	5PA1F_11JBS_3	98.508962	2430	2561	2081	0.833901	0.4	0.5
4AB1K_X16_57	5PA1N_11JBS_61	99.351668	2430	2641	2158	0.851114	0.4	0.5
4AB1K_X16_57	5PA1C_11JBS_66	99.707599	2430	2509	2237	0.905851	0.4	0.5
4AB1K_X16_57	5PA1C_11JBS_94	99.223769	2430	2587	2173	0.866255	0.4	0.5
4AB1K_X16_57	2PA1C_11JCS_83	99.37842	2430	2693	2164	0.844817	0.4	0.5
4AB1K_X16_57	1PA2N_11JES_24	99.728225	2430	2454	2209	0.904586	0.4	0.5
4AB1K_X16_57	1PB2N_24JB_27	99.370208	2430	2352	2118	0.885822	0.4	0.5
4AB1K_X16_57	2PB1N_24JB_86	99.340093	2430	2446	2155	0.883921	0.4	0.5
4AB1K_X16_57	2PA1C_11JCS_80	99.834444	2430	2895	2266	0.85108	0.4	0.5
4AB1K_X16_57	1PA1K_28JA_17	98.345917	2430	2566	2094	0.838271	0.4	0.5
4AB1K_X16_57	1AA3C_23YAS_93	98.618389	2430	2438	2061	0.846754	0.4	0.5
4AB1K_X16_57	1PA1N_28JB_60	99.177915	2430	2662	2153	0.84564	0.4	0.5
4AB1K_X16_57	2AA1C_28JA_67	99.326594	2430	2461	2117	0.865672	0.4	0.5
4AB1K_X16_57	7AA1C_28JC_5	99.865747	2430	2442	2248	0.922824	0.4	0.5
4AB1K_X16_57	2AA3K_9YD_62	98.541686	2430	2878	2123	0.799925	0.4	0.5
4AB1K_X16_57	1PB3C_8YDS_76	99.355795	2430	2604	2157	0.856973	0.4	0.5
4AB1K_X16_57	1PB3C_23YAC_20	99.346554	2430	2442	2133	0.875616	0.4	0.5
4AB1K_X16_57	2PA3N_15YE_35	97.872353	2430	2564	2087	0.835803	0.4	0.5
4AB1K_X16_57	2PA3C_15YE_61	99.212425	2430	2588	2153	0.858111	0.4	0.5
4AB1K_X16_57	2PA3C_15YE_82	99.446456	2430	2496	2187	0.887942	0.4	0.5
4AB1K_X16_57	7AB4N_22YB_3	99.292894	2430	2574	2139	0.854916	0.4	0.5
4AB1K_X16_57	5PB3N_22YC_31	99.731372	2430	2529	2209	0.890905	0.4	0.5
4AB1K_X16_57	5PB3C_22YC_85	99.788112	2430	2420	2246	0.926186	0.4	0.5
4AB1K_X16_57	5PB3C_22YC_86	99.340751	2430	2523	2157	0.870987	0.4	0.5
4AB1K_X16_57	1PA4N_22YD_57	99.194509	2430	2641	2149	0.847565	0.4	0.5
4AB1K_X16_57	1PA4C_22YD_91	99.33973	2430	2507	2152	0.871784	0.4	0.5
4AB1K_X16_57	2AA1C_28JA_61	99.368405	2430	2546	2157	0.866961	0.4	0.5
4AB1K_X16_57	8AB4F_25YA_19	99.325417	2430	2846	2158	0.818044	0.4	0.5
4AB1K_X16_57	1AA3C_23YAS_90	97.807907	2430	2527	2074	0.836796	0.4	0.5
4AB1K_X16_57	1AA3C_23YAS_94	99.388734	2430	2407	2086	0.862518	0.4	0.5
4AB1K_X16_57	8AB1F_25YH_17	98.547955	2430	2567	2103	0.841705	0.4	0.5
4AB1K_X16_57	8PB3F_23YCS_6	99.333687	2430	2531	2170	0.874824	0.4	0.5
4AB1K_X16_57	8AC4C_8YAS_89	99.873039	2430	2414	2244	0.926507	0.4	0.5
4AB1K_X16_57	8AB4C_25YA_77	99.107044	2430	2610	2158	0.856349	0.4	0.5
4AB1K_X16_57	8PB1K_25YC_40	99.353044	2430	2422	2135	0.880049	0.4	0.5
4AB1K_X16_57	8PB4N_25YD_28	99.259321	2430	2716	2135	0.829771	0.4	0.5
4AB1K_X16_57	8AB1K_25YH_62	99.290829	2430	2348	2110	0.883215	0.4	0.5
4AB1K_X16_57	8AB4C_23YAS_16	97.799976	2430	2663	2068	0.812095	0.4	0.5
4AB1K_X16_57	7AA4C_23YAC_39	99.393216	2430	2384	2130	0.884919	0.4	0.5
4AB1K_X16_57	1AA4C_Z02_85	99.620584	2430	2519	2225	0.899172	0.4	0.5
4AB1K_X16_57	2PA3C_15YE_41	99.323532	2430	2574	2180	0.871303	0.4	0.5
4AB1K_X16_57	2PA3C_15YE_37	98.348222	2430	2478	2109	0.859413	0.4	0.5
4AB1K_X16_57	1PA4F_22YD_41	99.840247	2430	2571	2271	0.908218	0.4	0.5
4AB1K_X16_57	1AA4C_Z02_71	99.42926	2430	2365	2148	0.895933	0.4	0.5
4AB1K_X16_57	1AA4C_Z02_81	99.348257	2430	2412	2151	0.888476	0.4	0.5
4AB1K_X16_57	7AA1C_28JC_11	99.321185	2430	2813	2202	0.839977	0.4	0.5
4AB1K_X16_57	2PB1N_24JB_91	98.477199	2430	2487	2092	0.850925	0.4	0.5
4AB1K_X16_57	1PB2N_Z08_44	98.570228	2430	2542	2101	0.845133	0.4	0.5
4AB1K_X16_57	8AC1N_25YC_3	99.813536	2430	2480	2268	0.923829	0.4	0.5
4AB1K_X16_57	7PA1C_28JC_92	99.354747	2430	2524	2138	0.863141	0.4	0.5
4AB1K_X16_57	2AA3C_23YBC_2	99.839213	2430	2417	2248	0.927584	0.4	0.5
4AB1K_X16_57	7AA4F_Z04_59	83.035154	2430	2619	1913	0.757774	0.4	0.5
4AB1K_X16_57	8AC1C_25YC_8	77.663261	2430	3736	1855	0.601687	0.4	0.5
4AB1K_X16_57	1PA2C_11JES_51	78.780442	2430	2640	1879	0.741223	0.4	0.5
4AB1K_X16_57	2PB1F_Z08_17	77.071697	2430	2344	1786	0.74822	0.4	0.5
4AB1K_X16_57	2PB1C_Z08_6	75.996268	2430	2435	1782	0.73258	0.4	0.5
4AB1K_X16_57	2PB1K_Z08_8	49.231673	2430	2424	251	0.10342	0.4	0.5
4AA1N_X16_28	4AB1N_X14_13	97.999603	2352	2463	2016	0.837383	0.4	0.5
4AA1N_X16_28	4AA1F_X13_48	97.939374	2352	2501	2028	0.835772	0.4	0.5
4AA1N_X16_28	4AB1K_X16_57	99.299011	2352	2430	2123	0.887913	0.4	0.5
4AA1N_X16_28	4AA1N_X16_28	100	2352	2352	2345	0.997024	0.4	0.5
4AA1N_X16_28	4AA1F_X14_79	99.341055	2352	2491	2085	0.861037	0.4	0.5
4AA1N_X16_28	7AA1C_X14_93	99.366445	2352	2512	2107	0.866365	0.4	0.5
4AA1N_X16_28	7PA1C_28JC_68	99.357415	2352	2463	2077	0.862721	0.4	0.5
4AA1N_X16_28	4AA1F_X13_46	99.19372	2352	2517	2086	0.856849	0.4	0.5
4AA1N_X16_28	4AA1F_X13_37	97.873673	2352	2569	2034	0.826661	0.4	0.5
4AA1N_X16_28	5PA1F_11JBS_3	98.665931	2352	2561	2015	0.820273	0.4	0.5
4AA1N_X16_28	5PA1N_11JBS_61	99.412958	2352	2641	2072	0.829962	0.4	0.5
4AA1N_X16_28	5PA1C_11JBS_66	99.362123	2352	2509	2091	0.860317	0.4	0.5
4AA1N_X16_28	5PA1C_11JBS_94	99.40012	2352	2587	2084	0.843896	0.4	0.5
4AA1N_X16_28	2PA1C_11JCS_83	99.437476	2352	2693	2068	0.819822	0.4	0.5
4AA1N_X16_28	1PA2N_11JES_24	99.44697	2352	2454	2079	0.865169	0.4	0.5
4AA1N_X16_28	1PB2N_24JB_27	99.647628	2352	2352	2108	0.896259	0.4	0.5
4AA1N_X16_28	2PB1N_24JB_86	99.419874	2352	2446	2068	0.862026	0.4	0.5
4AA1N_X16_28	2PA1C_11JCS_80	99.316619	2352	2895	2088	0.795883	0.4	0.5
4AA1N_X16_28	1PA1K_28JA_17	98.430299	2352	2566	2043	0.830826	0.4	0.5
4AA1N_X16_28	1AA3C_23YAS_93	98.732408	2352	2438	2018	0.842589	0.4	0.5
4AA1N_X16_28	1PA1N_28JB_60	99.345349	2352	2662	2064	0.823295	0.4	0.5
4AA1N_X16_28	2AA1C_28JA_67	99.545478	2352	2461	2090	0.868481	0.4	0.5
4AA1N_X16_28	7AA1C_28JC_5	99.343004	2352	2442	2087	0.870672	0.4	0.5
4AA1N_X16_28	2AA3K_9YD_62	98.72527	2352	2878	2038	0.77935	0.4	0.5
4AA1N_X16_28	1PB3C_8YDS_76	99.372637	2352	2604	2074	0.836965	0.4	0.5
4AA1N_X16_28	1PB3C_23YAC_20	99.33646	2352	2442	2079	0.867334	0.4	0.5
4AA1N_X16_28	2PA3N_15YE_35	98.017852	2352	2564	2011	0.818145	0.4	0.5
4AA1N_X16_28	2PA3C_15YE_61	99.340237	2352	2588	2069	0.837652	0.4	0.5
4AA1N_X16_28	2PA3C_15YE_82	99.34307	2352	2496	2085	0.860149	0.4	0.5
4AA1N_X16_28	7AB4N_22YB_3	99.149138	2352	2574	2088	0.847747	0.4	0.5
4AA1N_X16_28	5PB3N_22YC_31	99.410635	2352	2529	2078	0.851465	0.4	0.5
4AA1N_X16_28	5PB3C_22YC_85	99.395995	2352	2420	2085	0.873847	0.4	0.5
4AA1N_X16_28	5PB3C_22YC_86	99.425191	2352	2523	2090	0.857436	0.4	0.5
4AA1N_X16_28	1PA4N_22YD_57	99.424507	2352	2641	2081	0.833567	0.4	0.5
4AA1N_X16_28	1PA4C_22YD_91	99.331618	2352	2507	2070	0.852027	0.4	0.5
4AA1N_X16_28	2AA1C_28JA_61	99.338308	2352	2546	2104	0.859126	0.4	0.5
4AA1N_X16_28	8AB4F_25YA_19	99.440422	2352	2846	2083	0.801462	0.4	0.5
4AA1N_X16_28	1AA3C_23YAS_90	97.949777	2352	2527	2015	0.825989	0.4	0.5
4AA1N_X16_28	1AA3C_23YAS_94	99.507666	2352	2407	2035	0.855222	0.4	0.5
4AA1N_X16_28	8AB1F_25YH_17	98.635958	2352	2567	2019	0.820899	0.4	0.5
4AA1N_X16_28	8PB3F_23YCS_6	99.386768	2352	2531	2082	0.852754	0.4	0.5
4AA1N_X16_28	8AC4C_8YAS_89	99.36539	2352	2414	2089	0.876626	0.4	0.5
4AA1N_X16_28	8AB4C_25YA_77	99.350995	2352	2610	2060	0.83031	0.4	0.5
4AA1N_X16_28	8PB1K_25YC_40	99.448857	2352	2422	2099	0.879346	0.4	0.5
4AA1N_X16_28	8PB4N_25YD_28	99.396721	2352	2716	2089	0.824388	0.4	0.5
4AA1N_X16_28	8AB1K_25YH_62	99.598288	2352	2348	2073	0.882128	0.4	0.5
4AA1N_X16_28	8AB4C_23YAS_16	97.923706	2352	2663	2010	0.801595	0.4	0.5
4AA1N_X16_28	7AA4C_23YAC_39	99.383453	2352	2384	2082	0.879223	0.4	0.5
4AA1N_X16_28	1AA4C_Z02_85	99.386294	2352	2519	2083	0.855266	0.4	0.5
4AA1N_X16_28	2PA3C_15YE_41	99.270578	2352	2574	2058	0.835566	0.4	0.5
4AA1N_X16_28	2PA3C_15YE_37	98.484248	2352	2478	2041	0.845135	0.4	0.5
4AA1N_X16_28	1PA4F_22YD_41	99.346585	2352	2571	2079	0.844607	0.4	0.5
4AA1N_X16_28	1AA4C_Z02_71	99.408667	2352	2365	2071	0.8781	0.4	0.5
4AA1N_X16_28	1AA4C_Z02_81	99.387616	2352	2412	2055	0.86272	0.4	0.5
4AA1N_X16_28	7AA1C_28JC_11	99.281478	2352	2813	2084	0.80697	0.4	0.5
4AA1N_X16_28	2PB1N_24JB_91	98.735934	2352	2487	2019	0.83447	0.4	0.5
4AA1N_X16_28	1PB2N_Z08_44	98.626634	2352	2542	2020	0.825501	0.4	0.5
4AA1N_X16_28	8AC1N_25YC_3	99.343768	2352	2480	2094	0.866722	0.4	0.5
4AA1N_X16_28	7PA1C_28JC_92	99.906682	2352	2524	2140	0.877769	0.4	0.5
4AA1N_X16_28	2AA3C_23YBC_2	99.351517	2352	2417	2076	0.870623	0.4	0.5
4AA1N_X16_28	7AA4F_Z04_59	83.253926	2352	2619	1885	0.758399	0.4	0.5
4AA1N_X16_28	8AC1C_25YC_8	77.650493	2352	3736	1824	0.599212	0.4	0.5
4AA1N_X16_28	1PA2C_11JES_51	78.882554	2352	2640	1840	0.737179	0.4	0.5
4AA1N_X16_28	2PB1F_Z08_17	77.142397	2352	2344	1769	0.753407	0.4	0.5
4AA1N_X16_28	2PB1C_Z08_6	76.126251	2352	2435	1758	0.734489	0.4	0.5
4AA1N_X16_28	2PB1K_Z08_8	49.306327	2352	2424	245	0.102596	0.4	0.5
4AA1F_X14_79	4AB1N_X14_13	97.858746	2491	2463	2058	0.830844	0.4	0.5
4AA1F_X14_79	4AA1F_X13_48	97.853906	2491	2501	2048	0.820513	0.4	0.5
4AA1F_X14_79	4AB1K_X16_57	99.302801	2491	2430	2178	0.885186	0.4	0.5
4AA1F_X14_79	4AA1N_X16_28	99.341055	2491	2352	2085	0.861037	0.4	0.5
4AA1F_X14_79	4AA1F_X14_79	100	2491	2491	2475	0.993577	0.4	0.5
4AA1F_X14_79	7AA1C_X14_93	99.212328	2491	2512	2186	0.873876	0.4	0.5
4AA1F_X14_79	7PA1C_28JC_68	99.05753	2491	2463	2198	0.887364	0.4	0.5
4AA1F_X14_79	4AA1F_X13_46	99.305005	2491	2517	2128	0.84984	0.4	0.5
4AA1F_X14_79	4AA1F_X13_37	97.772721	2491	2569	2062	0.81502	0.4	0.5
4AA1F_X14_79	5PA1F_11JBS_3	98.292874	2491	2561	2119	0.838876	0.4	0.5
4AA1F_X14_79	5PA1N_11JBS_61	99.209298	2491	2641	2178	0.848792	0.4	0.5
4AA1F_X14_79	5PA1C_11JBS_66	99.421138	2491	2509	2162	0.8648	0.4	0.5
4AA1F_X14_79	5PA1C_11JBS_94	99.192388	2491	2587	2194	0.86412	0.4	0.5
